feature,macro_f1_decrease,std
Type of Travel,0.1815435165875962,0.004114441515135484
Inflight wifi service,0.1523607205217696,0.011524019187693545
Online boarding,0.06264620664902702,0.006786838206978991
Customer Type,0.03365515108147412,0.002763645189380254
Inflight entertainment,0.02424758978752033,0.003127453039892134
Seat comfort,0.019369716645971247,0.0026918019536593574
Ease of Online booking,0.019273107048527627,0.0027545569212031004
On-board service,0.014534450858262882,0.001871592797939213
Inflight service,0.013969064967386858,0.0024231905788885343
Baggage handling,0.013242075447473623,0.0026068545770654202
Class,0.012751957993377605,0.0016506198933943733
Checkin service,0.008553022382122655,0.002782342604497249
Age,0.007073626154680146,0.0017629113824370389
Leg room service,0.0066451457297820316,0.00258596492822112
Flight Distance,0.005748656001475583,0.001851058560565674
Gate location,0.005392433729930502,0.0014799572775502155
Cleanliness,0.0037155336915839277,0.002552653971260361
Arrival Delay in Minutes,0.003395146428252471,0.0016485950501144142
Food and drink,0.0016069659795392654,0.0006718244739600461
Departure/Arrival time convenient,0.0013995536800497145,0.0020174336280991078
Gender,0.0013662912276400264,0.0008139161235557212
Departure Delay in Minutes,0.0001086752520170542,0.0010083116253615872
