model,partition,accuracy,macro_f1,recall_0,recall_1,n,threshold
RandomForest,validation,0.9686203319502075,0.9078927861101651,0.760705289672544,0.9924833766984678,3856,0.5
RandomForest,test,0.9693983402489627,0.908242908814011,0.743073047858942,0.9953743856605956,3856,0.5
Logistic_Dense,validation,0.958246887966805,0.8780467633820486,0.7153652392947103,0.9861231569817867,3856,0.5
Logistic_Dense,test,0.9574688796680498,0.8740695367218858,0.6977329974811083,0.9872795605666378,3856,0.5
DNN_hidden,validation,0.9592842323651453,0.8841955877055943,0.7481108312342569,0.9835212489158717,3856,0.5
DNN_hidden,test,0.9660269709543569,0.9031432018985723,0.7783375314861462,0.9875686614628505,3856,0.5
DNN_dropout,validation,0.9662863070539419,0.9011639966276512,0.7506297229219143,0.9910378722174039,3856,0.5
DNN_dropout,test,0.966804979253112,0.9009695024077047,0.7355163727959698,0.9933506793871061,3856,0.5
DNN_earlystop,validation,0.9649896265560166,0.9046985608669839,0.8236775818639799,0.9812084417461694,3856,0.5
DNN_earlystop,test,0.9678423236514523,0.9125620384830608,0.8387909319899244,0.9826539462272333,3856,0.5
Shared_architecture_rebuilt,validation,0.8970435684647303,0.47286397812713604,0.0,1.0,3856,0.5
Shared_architecture_rebuilt,test,0.8970435684647303,0.47286397812713604,0.0,1.0,3856,0.5
